ordinal	Shift-JIS	HTML	Japanese	English	Tag
#1228	\x{F9E4}	&#63972;	波			
#1229	\x{F9E5}	&#63973;	富士山			
#1230	\x{F9E6}	&#63974;	クローバー			
#1231	\x{F9E7}	&#63975;	チェリー			
#1232	\x{F9E8}	&#63976;	チューリップ			
#1233	\x{F9E9}	&#63977;	バナナ			
#1234	\x{F9EA}	&#63978;	りんご			
#1235	\x{F9EB}	&#63979;	芽			
#1236	\x{F9EC}	&#63980;	もみじ			
#1237	\x{F9ED}	&#63981;	桜			
#1238	\x{F9EE}	&#63982;	おにぎり			
#1239	\x{F9EF}	&#63983;	ショートケーキ			
#1240	\x{F9F0}	&#63984;	とっくり(おちょこ付き)			
#1241	\x{F9F1}	&#63985;	どんぶり			
#1242	\x{F9F2}	&#63986;	パン			
#1243	\x{F9F3}	&#63987;	カタツムリ			
#1244	\x{F9F4}	&#63988;	ひよこ			
#1245	\x{F9F5}	&#63989;	ペンギン			
#1246	\x{F9F6}	&#63990;	魚			
#1247	\x{F9F7}	&#63991;	うまい！			
#1248	\x{F9F8}	&#63992;	ウッシッシ			
#1249	\x{F9F9}	&#63993;	ウマ			
#1250	\x{F9FA}	&#63994;	ブタ			
#1251	\x{F9FB}	&#63995;	ワイングラス			
#1252	\x{F9FC}	&#63996;	げっそり			
